id,clutchsize_eggs_min,clutchsize_eggs_max,clutchsize_eggs_class,clutchsize_method,egg_diameter_without_jelly,egg_diameter_with_jelly,location,details,clutch_structure
1,40,69,,dissection,2.1,,terrestrial,Aquatic foam nest,
10,,,,,,,,,
11,,,,,,,,,
2,150,290,,observation,1.8,,aquatic,film_on_water,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
