id;macro;micro
A20;forest;litter
A21;savan;semi-arboreal
A22;;aquatic
A23;Marsh/swamp;
A24;;
A25;;
A26;;
A27;;
A28;forest;
A29;forest;
A30;grassland;terrestrial
