id;pattern;colour;warty;uni_vs_polymorph
A20;stripes;aposematic;none;polymorph
A21;points;aposematic;none;few
A22;;;;
A23;;;;
A24;;;;
A25;;;;
A26;;;none;polymorph
A27;;;;
A28;;;none;polymorph
A29;;;;
A30;;;none;
