id,pattern,colour,warty,uni_vs_polymorph,sex_colour_dimorphism
1,stripes,aposematic,none,polymorph,NY
10,,,,,
11,,,,,
2,points,aposematic,none,few,NY
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
